rowid,utility_id_ferc1,plant_name_ferc1,plant_type,installation_year,capacity_mw,peak_demand_mw,plant_hours_connected_while_generating,net_capacity_favorable_conditions_mw,net_capacity_adverse_conditions_mw,net_generation_mwh
1,2,weiss dam,Storage,1962.0,87.8,78.0,4377.0,90.0,51.0,264862.0
2,2,h. neely henry dam,Storage,1966.0,72.9,69.0,4816.0,77.0,9.0,246845.0
3,2,logan martin dam,Storage,1964.0,128.3,132.0,5050.0,148.0,107.0,462313.0
4,2,lay dam,Run-of-River,1968.0,177.0,185.0,5402.0,194.0,144.0,719686.0
5,2,mitchell dam,Run-of-River,1985.0,170.0,169.0,5446.0,176.0,122.0,598137.0
6,2,jordan dam,Run-of-River,1928.0,100.0,127.0,8760.0,136.0,81.0,361024.0
7,2,walter bouldin dam,Run-of-River,1967.0,225.0,229.0,4465.0,240.0,153.0,806931.0
8,2,martin dam,Storage,1952.0,154.2,127.0,3791.0,169.0,117.0,363979.0
9,2,yates dam,Run-of-River,1928.0,32.0,35.0,5822.0,39.0,28.0,146959.0
10,2,thurlow dam,Run-of-River,1930.0,58.0,64.0,8726.0,67.0,45.0,257586.0
11,2,lewis smith dam,Storage,1962.0,157.5,169.0,2349.0,200.0,164.0,295112.0
12,2,bankhead dam,Run-of-River,1963.0,45.1,52.0,4364.0,54.0,41.0,207468.0
13,2,holt dam,Run-of-River,1968.0,40.0,42.0,4816.0,43.0,11.0,194322.0
14,2,r.l. harris dam,Storage,1983.0,135.0,115.0,2107.0,138.0,100.0,163271.0
15,17,walters,Storage,1930.0,108.0,110.0,6550.0,100.0,105.0,487459.0
16,17,tillery,Storage,1960.0,84.0,86.0,7669.0,86.0,86.0,224411.0
17,17,blewett,Storage,1912.0,25.0,28.0,6386.0,25.0,22.0,141365.0
18,18,s murray hydro. stn.,Run-of-River,1990.0,192.0,201.0,8760.0,201.0,20.0,943.08
19,70,bliss,Run-of-River,1950.0,75.0,54.0,8760.0,80.0,77.0,350351.0
20,70,brownlee,Storage,1980.0,585.4,697.0,7833.0,728.0,617.0,1743384.0
21,70,oxbow,Storage,1961.0,190.0,213.0,8724.0,220.0,220.0,753573.0
22,70,hells canyon,Storage,1967.0,391.5,431.0,8749.0,450.0,107.0,1504228.0
23,70,malad,Run-of-River,1948.0,21.77,24.0,8669.0,24.0,18.0,169081.0
24,70,c j strike,Run-of-River,1952.0,82.8,87.0,8760.0,89.0,87.0,406998.0
25,70,swan falls,Run-of-River,1994.0,27.17,22.0,8760.0,27.0,11.0,113694.0
26,70,twin falls,Run-of-River,1935.0,8.44,10.0,7461.0,10.0,3.0,52682.0
27,70,upper salmon,Run-of-River,1947.0,34.5,37.0,8760.0,39.0,23.0,263082.0
28,70,shoshone falls,Run-of-River,1921.0,12.5,13.0,8478.0,13.0,6.0,104337.0
29,70,lower salmon,Run-of-River,1949.0,60.0,50.0,8760.0,70.0,68.0,243983.0
30,70,milner,Run-of-River,1992.0,59.45,40.0,8672.0,59.0,1.0,103969.0
31,98,thomson,Storage,1949.0,72.6,84.0,8760.0,75.0,74.0,413249.75
32,98,blanchard,Run of River,1988.0,18.0,16.0,8760.0,18.0,18.0,108310.4
33,98,fond du lac,Storage,1924.0,12.0,11.0,8760.0,12.0,6.0,69790.8
34,19,neversink,Run-of-River,1953.0,25.0,24.0,3047.0,23.0,23.0,45689.0
35,19,sturgeon pool,Storage,1924.0,14.4,16.0,4369.0,15.0,15.0,59931.0
36,19,dashville,Run-of-River,1920.0,4.8,6.0,5735.0,4.0,4.0,12122.0
37,19,high falls,Run-of-River,1986.0,3.2,3.0,3524.0,3.0,3.0,6037.0
38,102,black eagle,Run-Of-River,1927.0,21.0,19.0,8290.0,18.0,15.0,121596.008
39,102,cochrane,Run-Of-River,1958.0,60.0,58.0,8757.0,55.0,30.0,270518.0
40,102,kerr,Storage,1954.0,182.5,185.0,8258.0,180.0,175.0,920514.33
41,102,morony,Run-Of-River,1930.0,50.0,49.0,8748.0,49.0,28.0,269546.9
42,102,mystic lake,Storage,1925.0,12.5,11.0,8750.0,12.0,12.0,46478.84
43,102,hauser,Storage,1914.0,17.0,17.0,8740.0,17.0,11.0,121287.0
44,102,holter,Storage,1918.0,48.0,45.0,8757.0,50.0,35.0,226775.14
45,102,rainbow,Run-Of-River,1917.0,41.6,37.0,8721.0,35.0,35.0,249856.2
46,102,ryan,Run-Of-River,1916.0,60.0,59.0,8757.0,60.0,50.0,401154.74
47,102,thompson falls,Run-Of-River,1917.0,30.0,42.0,8760.0,40.0,22.0,296932.776
48,193,peavy falls,Storage,1943.0,12.0,16.0,6791.0,16.0,14.0,54.31
49,193,big quinnesec,Run of River,1949.0,19.5,21.0,8760.0,20.0,14.0,99.981
50,197,high rock,Storage,1927.0,33.0,36.0,5472.0,37.0,12.0,152566.88
51,197,tuckertown,Run-of-River,1962.0,42.0,43.0,5098.0,42.0,38.0,157834.5
52,197,narrows,Storage,1924.0,96.5,118.0,5198.0,108.0,80.0,523144.4
53,197,falls,Run-of-River,1922.0,31.5,32.0,5415.0,32.0,22.0,145492.49
54,199,york-haven,Run-of-River,1930.0,19.6,23.0,8718.0,21.0,8.0,137.566
55,121,chippewa falls,Run-of-River,1928.0,21.6,22.0,4116.0,23.0,22.0,73486.138
56,121,cornell,Run-of-River,1977.0,30.9,30.0,4985.0,31.0,31.0,93074.0
57,121,holcombe,Run-of-River,1950.0,33.8,36.0,4999.0,33.0,33.0,107271.5
58,121,jim falls,Run-of River,1988.0,57.4,57.0,7223.0,58.0,58.0,149837.48
59,121,st. croix falls,Run-of-River,1923.0,23.2,24.0,8723.0,22.0,22.0,116209.0
60,121,wissota,Run-of-River,1917.0,36.0,37.0,8699.0,36.0,36.0,153270.4
61,131,mongaup,Storage,1926.0,4.0,4.0,7230.0,4000.0,4000.0,13357.0
62,131,rio,Storage,1927.0,10.0,11.0,7257.0,10000.0,8000.0,32173.0
63,131,swinging bridge,Storage,1939.0,12.0,12.0,6881.0,13000.0,11000.0,16573.0
64,131,grahamsville,Storage,1956.0,18.0,17.0,6831.0,18000.0,16000.0,106046.0
65,134,grace,Storage,1923.0,33.0,33.0,7949.0,33.0,17.0,106444.0
66,134,olmsted,Run-of-River,1922.0,11.79,8.0,7950.0,7.0,2.0,15164.0
67,134,oneida,Storage,1920.0,30.0,27.0,5304.0,30.0,28.0,33837.0
68,134,soda,Storage,1924.0,14.0,9.0,4243.0,7.0,4.0,17861.0
69,134,merwin,Storage,1958.0,136.0,146.0,7532.0,144.0,95.0,476286.0
70,134,yale,Storage,1953.0,134.0,130.0,4702.0,132.0,99.0,507360.0
71,134,swift no. 1,Storage,1958.0,240.0,239.0,3973.0,268.0,140.0,599074.0
72,134,copco no. 1,Storage,1922.0,20.0,25.0,4964.0,26.0,26.0,46777.0
73,134,copco no. 2,Run of River,1925.0,27.0,30.0,4971.0,30.0,26.0,61014.0
74,134,john c. boyle,Storage,1958.0,79.99,77.0,3936.0,82.0,82.0,105953.0
75,134,iron gate,Storage,1962.0,18.0,15.0,8757.0,20.0,20.0,60153.0
76,134,soda springs,Run of River,1952.0,11.0,12.0,8339.0,12.0,12.0,46277.0
77,134,slide creek,Run of River,1951.0,18.0,17.0,8492.0,18.0,17.0,65423.0
78,134,fish creek,Run of River,1952.0,11.0,13.0,5904.0,12.0,12.0,42923.0
79,134,clearwater no.1,Run of River,1953.0,15.0,12.0,8283.0,15.0,12.0,40302.0
80,134,clearwater no. 2,Run of River,1953.0,26.0,16.0,8215.0,26.0,26.0,38410.0
81,134,lemolo no. 1,Run of River,1955.0,29.0,28.0,8099.0,29.0,23.0,82424.0
82,134,lemolo no. 2,Run of River,1956.0,33.0,30.0,8498.0,35.0,33.0,115401.0
83,134,toketee,Conventional,1950.0,42.5,35.0,8722.0,42.0,42.0,167012.0
84,134,prospect no. 2,Run of River,1928.0,32.0,36.0,8751.0,36.0,26.0,204319.0
85,141,bull run,Run-of-River,1922.0,21.0,23.0,8456.0,22.0,21.0,107377.0
86,141,faraday,Run-of-River/Storage,1958.0,34.45,45.0,8750.0,44.0,39.0,142573.0
87,141,north fork,Run-of-River/Stora,1958.0,38.4,53.0,8233.0,54.0,43.0,166923.0
88,141,river mill,Run-of-River/Stora,1952.0,19.05,23.0,8755.0,23.0,20.0,88510.0
89,141,oak grove,Run-of-River/Stora,1931.0,51.0,42.0,8280.0,49.0,49.0,195105.0
90,141,pelton,Run-of-River/Storage,1958.0,97.2,108.0,6056.0,124.0,108.0,362175.0
91,141,round butte,Storage,1964.0,247.05,300.0,5962.0,330.0,210.0,826431.0
92,141,sullivan,Run-of River,1953.0,15.4,17.0,8731.0,16.0,9.0,133044.0
93,145,boulder,Storage,1911.0,20.0,20.0,4681.0,20.0,5.0,15535.0
94,145,shoshone,Run of River,1909.0,14.4,16.0,8727.0,15.0,13.0,101285.3
95,150,lower baker,Storage,1960.0,64.0,71.0,8481.0,71.0,71.0,346173.56
96,150,upper baker,Storage,1959.0,94.4,99.0,8754.0,103.0,103.0,309740.48
97,150,snoqualmie falls #1,Run of River,1905.0,11.9,12.0,6373.0,13.0,13.0,47906.6
98,150,snoqualmie falls #2,Run of River,1957.0,30.09,34.0,8297.0,31.0,31.0,205367.57
99,150,white river,Run of River,1924.0,70.0,55.0,7164.0,70.0,70.0,234202.8
100,151,station 5,RUN OF RIVER,1927.0,40.5,45.0,8760.0,43.0,39.0,166432.0
101,153,safe harbor,Run-of-River,1986.0,417.5,408.0,8760.0,402.0,288.0,1291800.0
102,115,high falls,Storage,1956.0,15.0,17.0,8740.0,17.0,17.0,91798.6
103,115,mechanicville,Run-Of-River,1983.0,16.53,18.0,8680.0,18.0,18.0,80951.532
104,115,kent falls,Run-Of-River,1985.0,12.4,13.0,8728.0,13.0,13.0,56858.0
105,161,big creek no. 1,Storage,1925.0,85.2,90.0,8760.0,83.0,83.0,294351.0
106,161,big creek no. 2,Storage,1925.0,66.5,74.0,8760.0,67.0,67.0,260822.157
107,161,big creek no. 2a,Storage,1928.0,110.0,100.0,8727.0,99.0,99.0,404181.143
108,161,big creek no. 3,Storage,1980.0,174.5,185.0,8760.0,182.0,182.0,567399.33
109,161,big creek no. 4,Storage,1951.0,100.0,99.0,7664.0,100.0,100.0,294398.14
110,161,big creek no. 8,Storage,1929.0,75.0,66.0,8751.0,65.0,65.0,227572.08
111,161,portal power plant,Storage,1956.0,10.0,11.0,3694.0,11.0,11.0,46933.55
112,161,kern river no. 1,Run-of-River,1907.0,25.9,25.0,8760.0,25.0,25.0,164616.784
113,161,kern river no. 3,Run-of-River,1921.0,40.2,36.0,8760.0,37.0,37.0,123899.33
114,161,mammoth pool,Storage,1960.0,190.0,176.0,8760.0,187.0,187.0,358509.7
115,161,poole plant,Storage,1924.0,11.3,11.0,8760.0,11.0,11.0,23700.619
116,168,conowingo,Run-of-River,1964.0,474.0,504.0,6613.0,512.0,512.0,1970476.0
117,171,santeelah,Storage,1928.0,45.0,43.0,6762.0,43.0,23.0,255039.0
118,171,cheoah,Run-of-River,1949.0,110.0,124.0,7998.0,114.0,114.0,709074.0
119,171,calderwood,Run-of-River,1938.0,121.5,120.0,8065.0,121.0,116.0,797712.0
120,171,chilhowee,Run-of-River,1957.0,50.0,54.0,6754.0,55.0,51.0,247679.0
121,177,osage,STORAGE,1953.0,208.0,222.0,8543.0,212.0,140.0,759921.8
122,177,keokuk,RUN -OF - RIVER,1913.0,124.8,115.0,8760.0,126.0,40.0,1026619.3
123,186,roanoke rapids,Storage - Daily,1955.0,100.0,101.0,8760.0,96.0,96.0,328520.0
124,186,gaston,Storage - Weekly,1963.0,178.0,216.0,4852.0,225.0,225.0,356024.0
125,187,little falls,Run-of-River,1911.0,32.0,36.0,8757.0,36.0,27.0,164826.0
126,187,long lake,Storage,1924.0,70.0,72.0,8759.0,73.0,57.0,359945.0
127,187,upper falls,Run-of-River,1922.0,10.0,10.0,8680.0,10.0,7.0,68462.0
128,187,nine mile,Run-of-River,1910.0,26.4,25.0,8662.0,29.0,25.0,79618.0
129,187,post falls,Storage,1980.0,14.8,18.0,8760.0,18.0,13.0,73192.0
130,187,monroe street,Run-of-River,1992.0,14.8,13.0,8760.0,13.0,10.0,71812.0
131,187,cabinet gorge,Run-of-River,1953.0,221.9,236.0,8758.0,236.0,196.0,827764.0
132,187,noxon rapids,Storage,1977.0,466.7,534.0,8760.0,554.0,370.0,1252731.0
133,188,lake lynn,Run-of-River,1926.0,51.0,52.0,4721.0,52.0,52.0,139676.0
134,196,petenwell,Storage,1950.0,20.0,23.0,8760.0,23.0,4.0,100290.0
135,196,castle rock,Storage,1951.0,15.0,19.0,8760.0,20.0,3.0,100343.0
136,106,thorpe,Storage,1941.0,22.0,22.0,4368.0,23.0,22.0,90533.0
137,106,nantahala,Storage,1942.0,43.0,47.0,7631.0,46.0,37.0,326462.0
138,106,tennessee creek,Storage,1955.0,11.0,9.0,5620.0,10.0,7.0,47887.8
139,159,parr,Run-of-River,1921.0,15.0,7.0,8752.0,14.0,14.0,88212.0
140,159,columbia,Run-of-River,1953.0,11.0,9.0,8751.0,10.0,10.0,51856.0
141,159,saluda,Storage,1971.0,198.0,204.0,7098.0,206.0,206.0,219788.0
142,23,monty,Run-of-River,1990.0,28.4,28.0,8643.0,28.0,23.0,119345.6
143,136,piney,Run-of-River,1926.0,28.8,29.0,3982.0,28.0,27.0,89969.0
144,136,deep creek,Run-of-River,1925.0,19.2,21.0,2550.0,19.0,18.0,39059.0
145,67,hadley falls,Run of River,1983.0,30.8,32.0,7355.0,32.0,32.0,187857.857
146,133,(e) kerckhoff no. 2,R of R/Storage,1983.0,139.5,155.0,4519.0,155.0,152.0,275752.0
147,133,(a)(f) electra,R of R/Storage,1948.0,89.1,88.0,8403.0,92.0,92.0,258518.0
148,133,(a)(f)salt spring1&2,R of R/Storage,1952.0,39.05,41.0,5197.0,44.0,34.0,118553.0
149,133,(a)(f)tiger creek,R of R/Storage,1931.0,51.0,64.0,7817.0,58.0,58.0,224035.0
150,133,(a)(f)west point,R of R/Storage,1948.0,13.6,15.0,8454.0,15.0,13.0,64919.0
151,133,(e-1) balch no.1,R of R/Storage,1927.0,31.0,35.0,2545.0,34.0,34.0,82602.0
152,133,balch no. 2,R of R/Storage,1958.0,97.2,99.0,4390.0,105.0,105.0,338488.0
153,133,pit no. 3,Run of River,1925.0,80.19,74.0,5507.0,70.0,70.0,288061.0
154,133,pit no. 4,Run of River,1955.0,90.0,95.0,5379.0,95.0,95.0,376138.0
155,133,pit no. 5,Run of River,1944.0,140.56,162.0,6105.0,156.0,156.0,641736.0
156,133,bucks creek,R of R/Storage,1928.0,66.0,60.0,3960.0,58.0,54.0,161128.0
157,133,de sabla,R of R/Storage,1963.0,18.45,20.0,8471.0,19.0,19.0,101883.0
158,133,coleman,R of R/Storage,1979.0,12.15,12.0,8699.0,13.0,5.0,75073.0
159,133,(e) a.g. wishon,R of R/Storage,1911.0,12.8,15.0,8581.0,20.0,13.0,27904.0
160,133,(b) cresta,R of R/Storage,1950.0,67.5,69.0,6724.0,70.0,72.0,190074.0
161,133,(b) rock creek,R of R/Storage,1950.0,113.4,115.0,6429.0,112.0,115.0,256684.0
162,133,(e-1) haas,R of R/Storage,1958.0,135.0,146.0,2692.0,144.0,138.0,330138.0
163,133,(e-1) kings river,R of R/Storage,1962.0,44.1,51.0,4180.0,52.0,52.0,124860.0
164,133,(b) belden,R of R/Storage,1969.0,117.9,118.0,2970.0,125.0,125.0,188092.0
165,133,(b) butt valley,R of R/Storage,1958.0,36.0,40.0,2464.0,40.0,39.0,86730.0
166,133,(b) caribou no. 1,R of R/Storage,1924.0,75.0,77.0,758.0,75.0,76.0,35687.0
167,133,(b) caribou no. 2,R of R/Storage,1958.0,109.8,120.0,3597.0,120.0,120.0,300710.0
168,133,james b. black,R of R/Storage,1966.0,154.8,172.0,5189.0,172.0,172.0,431994.0
169,133,pit no. 6,R of R/Storage,1965.0,79.2,80.0,6084.0,80.0,80.0,248364.0
170,133,pit no. 7,R of R/Storage,1965.0,104.4,100.0,7618.0,112.0,112.0,334508.0
171,133,(b) poe,R of R/Storage,1958.0,142.83,120.0,7891.0,120.0,126.0,340741.0
172,133,(b) stanislaus,R of R/Storage,1963.0,81.39,91.0,7377.0,91.0,91.0,295761.0
173,133,(d) drum no. 1,R of R/Storage,1928.0,49.2,56.0,1754.0,54.0,54.0,65816.0
174,133,(d) drum no.2,R of R/Storage,1965.0,44.1,50.0,3979.0,50.0,50.0,170246.0
175,133,(d) dutch flat,R of R/Storage,1943.0,22.0,23.0,2932.0,22.0,23.0,50821.0
176,133,(d) halsey,R of R/Storage,1916.0,12.0,10.0,8104.0,11.0,11.0,51175.0
177,133,wise no. 1,R of R/Storage,1917.0,12.0,13.0,8029.0,14.0,14.0,61836.0
178,133,hat creek no.1,R of R/Storage,1921.0,10.0,4.0,8753.0,9.0,4.0,24572.0
179,133,hat creek no. 2,R of R/Storage,1921.0,10.0,6.0,8755.0,9.0,9.0,36615.0
180,133,pit no. 1,R of R/Storage,1922.0,56.0,62.0,8574.0,61.0,61.0,199260.0
181,138,holtwood,Run-of-River,1924.0,108.0,115.0,7824.0,102.0,102.0,641345.0
182,138,wallenpaupack,Storage,1926.0,40.0,45.0,3347.0,44.0,44.0,111755.0
183,190,cabot,Run of River,1917.0,51.0,53.0,7204.0,53.0,53.0,251295.164
184,190,cobble mountain,Storage,1930.0,33.0,35.0,1516.0,34.0,34.0,16209.7
185,190,smith,Run of River-Stora,1949.0,15.0,10.0,7265.0,15.0,13.0,102951.024
186,113,deerfield #5,Hydro,1974.0,18.0,16.0,5454.0,19.0,10.0,54116.0
187,113,harriman plnt&str re,Hydro,1974.0,34.0,41.0,2897.0,45.0,32.0,102357.0
188,113,bellows falls,Hydro,1928.0,41.0,50.0,8760.0,49.0,42.0,217027.4
189,113,wilder,Hydro,1987.0,36.0,41.0,8760.0,41.0,32.0,133533.0
190,113,mcindoes,Hydro,1931.0,11.0,12.0,8332.0,13.0,9.0,46359.0
191,113,vernon,Hydro,1921.0,22.0,26.0,8760.0,26.0,10.0,119506.6
192,113,fife brook,Hydro,1974.0,11.0,11.0,5383.0,12.0,5.0,31487.0
193,113,commerford,Hydro,1930.0,140.0,165.0,8177.0,168.0,127.0,296273.0
194,113,moore,Hydro,1956.0,140.0,192.0,7988.0,200.0,136.0,236707.0
195,159,stevens creek,Run-of-River,1926.0,19.0,19.0,8757.0,9.0,9.0,93021.0
196,57,mathis-terrora,Storage,1925.0,16.0,22.0,8560.0,18.0,18.0,58700.0
197,57,tallulah falls,Run-of-River,1920.0,72.0,74.0,8681.0,81.0,81.0,203689.8
198,57,tugalo,Run-of-River,1924.0,45.0,63.0,8758.0,51.0,51.0,140048.36
199,57,yonah,Run-of-River,1925.0,23.0,34.0,8753.0,25.0,25.0,67241.0
200,57,bartletts ferry,Storage,1985.0,173.0,193.0,8755.0,185.0,185.0,494027.776
201,57,goat rock,Run-of-River,1956.0,26.0,29.0,8744.0,28.0,28.0,157280.91
202,57,oliver dam,Run-of-River,1959.0,60.0,63.0,8556.0,60.0,60.0,255935.0
203,57,north highlands,Run-of-River,1963.0,30.0,39.0,8760.0,36.0,36.0,151687.0
204,57,sinclair dam,Storage,1953.0,45.0,47.0,8745.0,46.0,45.0,172899.2
205,57,lloyd shoals,Storage,1916.0,14.0,15.0,7724.0,21.0,18.0,65752.0
206,57,morgan falls,Run-of-River,1923.0,17.0,17.0,8159.0,14.0,14.0,48979.0
207,57,wallace dam,Storage,1980.0,113.0,116.0,1867.0,113.0,113.0,131905.0
208,41,hardy,Run-of-River,1931.0,30.0,30.0,6801.0,32.0,32.0,99833.5
209,41,hodenpyl,Run-of-River,1925.0,18.0,10.0,8755.0,18.0,18.0,44856.0
210,41,tippy,Run-of-River,1918.0,20.0,13.0,8760.0,21.0,21.0,62077.0
211,45,bridgewater,Storage,1919.0,20.0,25.0,7830.0,21.0,20.0,60273.0
212,45,rhodhiss,Storage,1925.0,25.5,31.0,8431.0,30.0,28.0,71840.0
213,45,oxford,Storage,1928.0,36.0,41.0,8436.0,42.0,39.0,119663.0
214,45,lookout shoals,Run-of-River,1915.0,18.72,26.0,8537.0,24.0,24.0,102851.0
215,45,mountain island,Storage,1923.0,60.0,60.0,7185.0,56.0,56.0,132743.0
216,45,cowans ford,Storage,1967.0,350.0,345.0,2101.0,380.0,325.0,188749.0
217,45,wylie,Storage,1925.0,60.0,64.0,8751.0,63.0,56.0,163131.0
218,45,fishing creek,Storage,1916.0,36.72,52.0,8670.0,51.0,40.0,172795.0
219,45,great falls,Run-of-River,1907.0,24.0,31.0,3494.0,28.0,24.0,51933.0
220,45,dearborn,Run-of-River,1923.0,45.0,40.0,8488.0,39.0,36.0,150636.0
221,45,rocky creek,Run-of-River,1909.0,28.0,27.0,1123.0,27.0,27.0,10622.0
222,45,cedar creek,Run-of-River,1926.0,45.0,43.0,8657.0,43.0,38.0,159130.0
223,45,wateree,Storage,1919.0,56.0,80.0,8535.0,78.0,66.0,247923.0
224,45,ninety-nine islands,Run-of-River,1910.0,18.0,19.0,8754.0,21.0,3.0,73033.0
225,45,buzzard roost,Storage,1940.0,15.0,17.0,4725.0,18.0,12.0,51606.0
226,45,keowee,Storage,1971.0,157.5,71.0,1067.0,187.0,174.0,69685.0
227,168,conowingo,Run of River,1964.0,474.0,506.0,8760.0,512.0,512.0,1424914.0
228,115,high falls,Storage,1956.0,15.0,12.0,8757.0,12.0,12.0,75162.3
229,115,mechanicville,Run-of-River,1983.0,16.53,18.0,4932.0,18.0,18.0,72513.0
230,115,kents falls,Run-of-River,1985.0,12.4,12.0,8748.0,12.0,12.0,34807.0
231,186,roanoke rapids,Storage - Dailey,1955.0,100.0,100.0,8760.0,96.0,96.0,320071.0
232,186,gaston,Storage - Weekly,1963.0,178.0,201.0,4852.0,225.0,225.0,326437.0
233,193,peavy falls,Storage,1943.0,12.0,15.0,7885.0,16.0,14.0,64.115
234,193,big quinnesec,Run of River,1949.0,19.5,21.0,8760.0,20.0,14.0,108.929
235,145,boulder,Storage,1911.0,20.0,20.0,4385.0,20.0,5.0,15155.0
236,145,shoshone,Run of River,1909.0,14.0,17.0,8605.0,15.0,8.0,111421.0
237,2,weiss dam,Storage,1962.0,87.8,144.0,3857.0,90.0,51.0,222877.0
238,188,lake lynn,Run-of-River,1926.0,51.0,56.0,3912.0,52.0,52.0,109176.0
239,2,h. neely henry dam,Storage,1966.0,72.9,73.0,4045.0,77.0,9.0,198368.0
240,2,logan martin dam,Storage,1964.0,128.3,141.0,4302.0,148.0,107.0,373832.0
241,2,lay dam,Run-of-River,1968.0,177.0,186.0,4836.0,194.0,144.0,601242.0
242,2,mitchell dam,Run-of-River,1985.0,170.0,169.0,3463.0,176.0,122.0,504769.0
243,2,jordan dam,Run-of-River,1928.0,100.0,131.0,8760.0,128.0,81.0,301412.0
244,2,walter bouldin dam,Run-of-River,1967.0,225.0,233.0,4015.0,240.0,153.0,704829.0
245,2,martin dam,Storage,1952.0,154.2,203.0,3829.0,169.0,117.0,366063.0
246,2,yates dam,Run-of-River,1928.0,32.0,38.0,5305.0,39.0,28.0,138880.0
247,2,thurlow dam,Run-of-River,1930.0,58.0,66.0,8760.0,67.0,45.0,245058.0
248,2,lewis smith dam,Storage,1962.0,157.5,184.0,1983.0,200.0,164.0,252538.0
249,2,bankhead dam,Run-of-River,1963.0,45.1,52.0,4054.0,54.0,41.0,184413.0
250,2,holt dam,Run-of-River,1968.0,40.0,43.0,4400.0,43.0,11.0,178255.0
251,2,r. l. harris dam,Storage,1983.0,135.0,136.0,2050.0,138.0,100.0,186871.0
252,17,walters,Storage,1930.0,108.0,109.0,5593.0,100.0,105.0,399053.0
253,17,tillery,Storage,1960.0,84.0,87.0,8227.0,86.0,86.0,242870.0
254,17,blewett,Storage,1912.0,24.6,27.0,6821.0,25.0,22.0,148269.0
255,19,neversink,Run of River,1953.0,25.0,22.0,3406.0,22.0,22.0,55188.0
256,19,sturgeon pool,Storage,1924.0,14.4,20.0,3553.0,16.0,16.0,49399.0
257,19,dashville,Run-of-River,1920.0,4.8,5.0,3664.0,5.0,5.0,9967.0
258,19,high falls,Run-of-River,1986.0,3.2,4.0,3008.0,3.0,3.0,4226.0
259,18,s murray hydro stn,Run-of-River,1990.0,195.0,201.0,8760.0,201.0,20.0,947171.0
260,39,shepaug,Run of River,1955.0,37.2,46.0,2686.0,43.0,43.0,97978.7
261,39,stevenson,Run of River,1936.0,30.5,30.0,3819.0,29.0,29.0,81713.13
262,197,high rock,Storage,1927.0,33.0,36.0,5780.0,37.0,12.0,159118.3
263,70,oxbow,Storage,1961.0,190.0,220.0,8756.0,220.0,220.0,1230228.0
264,70,bliss,Run-of-River,1950.0,75.0,75.0,8742.0,80.0,76.0,384015.0
265,70,brownlee,Storage,1980.0,585.4,716.0,8406.0,728.0,617.0,3004328.0
266,70,hells canyon,Storage,1967.0,391.5,450.0,8760.0,450.0,136.0,2486939.0
267,70,malad,Run-of-River,1948.0,21.77,24.0,8718.0,24.0,18.0,179267.0
268,70,c j strike,Run-of-River,1952.0,82.8,89.0,8760.0,89.0,88.0,490015.0
269,70,swan falls,Run-of-River,1994.0,25.0,26.0,8731.0,26.0,11.0,141458.0
270,70,twin falls,Run-of-River,1995.0,52.74,50.0,8300.0,54.0,4.0,104129.0
271,70,upper salmon,Run-of-River,1947.0,34.5,38.0,8759.0,39.0,23.0,266657.0
272,70,shoshone falls,Run-of-River,1921.0,12.5,13.0,8619.0,13.0,6.0,100336.0
273,70,lower salmon,Run-of-River,1949.0,60.0,70.0,8760.0,70.0,68.0,274861.0
274,102,black eagle,Run-of-River,1927.0,21.0,19.0,8757.0,18.0,15.0,143398.849
275,102,cochrane,Run-of-River,1958.0,60.0,56.0,8755.0,55.0,30.0,335520.1
276,102,hauser,Storage,1914.0,17.0,17.0,8754.0,17.0,11.0,138349.0
277,102,holter,Storage,1918.0,48.0,47.0,8760.0,50.0,35.0,301817.0
278,102,kerr,Storage,1954.0,182.5,195.0,8760.0,180.0,175.0,1031698.67
279,102,morony,Run-of-River,1930.0,50.0,48.0,8670.0,49.0,28.0,341704.808
280,102,mystic lake,Storage,1925.0,12.5,11.0,8753.0,12.0,12.0,50009.04
281,102,rainbow,Run-of-River,1917.0,41.6,37.0,8760.0,35.0,35.0,263665.6
282,102,ryan,Run-of-River,1916.0,60.0,59.0,8759.0,60.0,50.0,446264.0
283,102,thompson falls,Storage,1995.0,80.0,92.0,8755.0,90.0,38.0,340330.656
284,113,deerfield #5,Hydro,1974.0,18.0,15.0,3466.0,19.0,10.0,37898.0
285,113,harriman plnt&str re,Hydro,1974.0,34.0,42.0,2650.0,45.0,32.0,91665.0
286,113,bellows falls,Hydro,1928.0,41.0,49.0,8760.0,49.0,42.0,210874.0
287,113,wilder,Hydro,1987.0,36.0,43.0,8760.0,41.0,32.0,128160.0
288,113,mcindoes,Hydro,1931.0,11.0,13.0,8033.0,13.0,9.0,45694.0
289,113,vernon,Hydro,1921.0,22.0,26.0,8760.0,26.0,10.0,112484.64
290,113,fife brook,Hydro,1974.0,11.0,10.0,4451.0,12.0,5.0,25301.0
291,113,comerford,Hydro,1930.0,140.0,168.0,7852.0,168.0,127.0,262403.0
292,113,moore,Hydro,1956.0,140.0,192.0,7791.0,200.0,136.0,222851.0
293,131,mongaup,Storage,1926.0,4.0,4.0,6615.0,4.0,4.0,11961.0
294,131,rio,Storage,1927.0,10.0,11.0,6468.0,11.0,8.0,26485.0
295,131,swinging bridge,Storage,1939.0,12.0,13.0,5994.0,13.0,11.0,11276.0
296,131,grahamsville,Storage,1956.0,18.0,17.0,6235.0,18.0,16.0,93354.0
