rowid,utility_id_ferc1,plant_name_ferc1,plant_type,installation_year,capacity_mw,peak_demand_mw,plant_hours_connected_while_generating,net_capacity_favorable_conditions_mw,net_capacity_adverse_conditions_mw,net_generation_mwh
3055,159,parr,Run-of-River,1921.0,14.8,14.0,8402.0,9.0,7.0,45556.0
3056,159,saluda,Storage,1971.0,207.3,180.0,4604.0,200.0,200.0,41426.0
3057,159,stevens creek,Run-of-River,1926.0,17.2,15.0,8718.0,12.0,9.0,53984.0
3058,187,monroe street,Run-of-River,1992.0,14.8,16.0,8644.0,15.0,14.0,109630.0
3059,187,upper falls,Run-of-River,1922.0,10.0,10.0,8592.0,10.0,10.0,73289.0
3060,187,cabinet gorge,Storage,1953.0,265.0,250.0,8752.0,255.0,217.0,1292344.0
3061,187,noxon rapids,Storage,1977.0,480.6,408.0,7515.0,562.0,288.0,2109683.0
3062,187,long lake,Storage,1924.0,70.0,89.0,7466.0,87.0,86.0,555565.0
3063,187,nine mile falls,Run-of-River,1994.0,26.4,21.0,8747.0,18.0,18.0,90046.0
3064,187,post falls,Storage,1980.0,14.8,16.0,8735.0,18.0,15.0,90452.0
3065,187,little falls,Run-of-River,1911.0,32.0,37.0,7440.0,35.0,35.0,213284.0
3066,146,amoskeag,Run of River-Storage,1924.0,16.0,18.0,8596.0,18.0,17.0,104592.803
3067,146,garvins,Run of River-Storage,1981.0,12.4,10.0,7869.0,14.0,12.0,53957.546
3068,146,smith,Run of River-Storage,1949.0,15.0,18.0,5875.0,15.0,12.0,85464.838
3069,150,lower baker,Storage,1960.0,85.0,85.0,6083.0,79.0,79.0,332792.353
3070,150,upper baker,Storage,1959.0,104.8,107.0,4444.0,91.0,91.0,301309.366
3071,161,big creek no. 1,Storage,1925.0,88.4,93.0,8760.0,83.0,83.0,440143.503
3072,161,big creek no. 2,Storage,1925.0,66.5,71.0,8661.0,67.0,67.0,362868.003
3073,161,big creek no. 8,Storage,1929.0,75.0,67.0,6416.0,65.0,65.0,251089.26
3074,161,portal power plant,Storage,1956.0,10.8,10.0,8674.0,11.0,11.0,8781.944
3075,161,poole plant,Storage,1924.0,11.3,11.0,7480.0,11.0,11.0,37310.135
